Kodea	Izena	Kokalekua	Helbidea	PostaKodea	Herria	Probintzia	Kategoria	Edukiera
PSS00017	FARO DE HIGUER	43.3923524962396,-1.7945188489421	Higer Bidea 58	20280	Hondarribia	Gipuzkoa	T	416
PSS00023	JAIZKIBEL	null	Akartegi 26	20280	Hondarribia	Gipuzkoa	T	324
